id,team_id,created_at,updated_at
20,teamB,2025-05-17 02:08:43.30682+00,2025-05-17 02:08:43.30682+00
21,teamA,2025-05-17 03:07:17.362419+00,2025-05-17 03:07:17.362419+00
22,teamB,2025-05-17 04:41:14.598158+00,2025-05-17 04:41:14.598158+00
23,teamC,2025-05-17 04:58:14.69383+00,2025-05-17 04:58:14.69383+00
24,teamD,2025-05-17 05:51:08.276889+00,2025-05-17 05:51:08.276889+00
25,teamC,2025-05-17 06:50:31.281377+00,2025-05-17 06:50:31.281377+00
26,teamA,2025-05-17 07:11:21.049997+00,2025-05-17 07:11:21.049997+00
27,teamD,2025-05-17 08:52:29.874659+00,2025-05-17 08:52:29.874659+00
